,Tokens,Occurences
3784,279,"[('T1.txt', 3)]"
3785,exactli,"[('T2.txt', 1), ('T5.txt', 1)]"
3786,rule,"[('T3.txt', 1), ('T4.txt', 1), ('T5.txt', 1), ('T6.txt', 1), ('T7.txt', 1), ('T10.txt', 2)]"
3787,permeabl,"[('T6.txt', 1)]"
3788,bygon,"[('T7.txt', 1)]"
3789,demonstr,"[('T8.txt', 1)]"
3790,half,"[('T1.txt', 2), ('T2.txt', 1), ('T3.txt', 1), ('T6.txt', 3), ('T7.txt', 4), ('T9.txt', 2), ('T10.txt', 4)]"
3791,193,"[('T1.txt', 1)]"
3792,maze,"[('T8.txt', 2)]"
3793,sixth,"[('T1.txt', 1), ('T8.txt', 1)]"
3794,deer,"[('T7.txt', 1)]"
3795,nature_,"[('T1.txt', 2)]"
3796,270,"[('T1.txt', 3)]"
3797,racial,"[('T6.txt', 1), ('T7.txt', 1)]"
3798,prof,"[('T3.txt', 3), ('T6.txt', 1)]"
3799,ingersol,"[('T1.txt', 1)]"
3800,petroleum,"[('T5.txt', 1)]"
3801,accident,"[('T9.txt', 1)]"
3802,fanwis,"[('T9.txt', 1)]"
3803,simpli,"[('T1.txt', 3), ('T3.txt', 1), ('T6.txt', 1), ('T7.txt', 2)]"
3804,knowabl,"[('T6.txt', 1)]"
3805,coal,"[('T1.txt', 1), ('T7.txt', 2), ('T9.txt', 18)]"
3806,provid,"[('T1.txt', 1), ('T2.txt', 2), ('T4.txt', 1), ('T8.txt', 1), ('T9.txt', 1), ('T10.txt', 15)]"
3807,cylind,"[('T6.txt', 1)]"
3808,liquid,"[('T3.txt', 2), ('T6.txt', 1), ('T10.txt', 2)]"
3809,sagaci,"[('T7.txt', 1)]"
3810,everyday,"[('T6.txt', 1), ('T7.txt', 1)]"
3811,65,"[('T1.txt', 2)]"
3812,ratio,"[('T6.txt', 3), ('T7.txt', 1)]"
3813,unsolicit,"[('T10.txt', 1)]"
3814,african,"[('T8.txt', 1)]"
3815,bun,"[('T8.txt', 1)]"
3816,slow,"[('T1.txt', 2), ('T4.txt', 1), ('T6.txt', 4), ('T8.txt', 1), ('T9.txt', 1), ('T10.txt', 9)]"
3817,hide,"[('T7.txt', 1)]"
3818,colour,"[('T1.txt', 4), ('T2.txt', 16), ('T4.txt', 2), ('T9.txt', 32)]"
3819,coupl,"[('T8.txt', 1)]"
3820,receptacl,"[('T10.txt', 1)]"
3821,mean,"[('T1.txt', 10), ('T2.txt', 7), ('T3.txt', 2), ('T4.txt', 2), ('T5.txt', 4), ('T6.txt', 14), ('T7.txt', 13), ('T8.txt', 5), ('T9.txt', 13), ('T10.txt', 5)]"
3822,irresist,"[('T5.txt', 1), ('T10.txt', 1)]"
3823,hipparion,"[('T7.txt', 1)]"
3824,pure,"[('T7.txt', 1), ('T8.txt', 1)]"
3825,halo,"[('T1.txt', 2)]"
3826,carey,"[('T1.txt', 1)]"
3827,greater,"[('T1.txt', 5), ('T2.txt', 1), ('T4.txt', 2), ('T5.txt', 3), ('T6.txt', 3), ('T7.txt', 3), ('T8.txt', 1), ('T10.txt', 4)]"
3828,1910,"[('T2.txt', 1)]"
3829,37,"[('T1.txt', 2)]"
3830,convey,"[('T4.txt', 1), ('T9.txt', 2)]"
3831,aspect,"[('T6.txt', 2), ('T7.txt', 1), ('T9.txt', 3), ('T10.txt', 2)]"
3832,indestruct,"[('T9.txt', 1), ('T10.txt', 1)]"
3833,broadcast,"[('T7.txt', 1)]"
3834,_pliocene_,"[('T7.txt', 2)]"
3835,term,"[('T1.txt', 1), ('T7.txt', 1), ('T8.txt', 1), ('T10.txt', 21)]"
3836,hot,"[('T1.txt', 1), ('T2.txt', 5), ('T3.txt', 4), ('T4.txt', 4), ('T5.txt', 1), ('T6.txt', 3), ('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 3), ('T10.txt', 2)]"
3837,ernest,"[('T1.txt', 3)]"
3838,168,"[('T1.txt', 1)]"
3839,act,"[('T1.txt', 1), ('T4.txt', 2), ('T5.txt', 2), ('T6.txt', 7), ('T9.txt', 1), ('T10.txt', 4)]"
3840,write,"[('T10.txt', 3)]"
3841,sy,"[('T6.txt', 2)]"
3842,bugbear,"[('T9.txt', 1)]"
3843,plastic,"[('T6.txt', 1), ('T7.txt', 3), ('T8.txt', 1)]"
3844,lever,"[('T7.txt', 1)]"
3845,_the,"[('T1.txt', 8), ('T2.txt', 1), ('T5.txt', 3), ('T6.txt', 2), ('T7.txt', 2), ('T10.txt', 5)]"
3846,readi,"[('T4.txt', 1), ('T6.txt', 4), ('T8.txt', 2)]"
3847,deciph,"[('T5.txt', 1)]"
3848,unaccustom,"[('T6.txt', 1)]"
3849,poison,"[('T1.txt', 1), ('T6.txt', 1), ('T7.txt', 2)]"
3850,toward,"[('T1.txt', 1), ('T2.txt', 4), ('T3.txt', 1), ('T4.txt', 2), ('T5.txt', 7), ('T6.txt', 2), ('T7.txt', 4), ('T8.txt', 2), ('T10.txt', 2)]"
3851,geolog,"[('T1.txt', 1), ('T7.txt', 4), ('T9.txt', 1)]"
3852,provok,"[('T6.txt', 1), ('T7.txt', 1)]"
3853,earth,"[('T1.txt', 37), ('T2.txt', 12), ('T3.txt', 9), ('T4.txt', 12), ('T5.txt', 5), ('T6.txt', 38), ('T7.txt', 17), ('T8.txt', 1), ('T9.txt', 22), ('T10.txt', 59)]"
3854,acid,"[('T6.txt', 4)]"
3855,transport,"[('T1.txt', 1)]"
3856,greenland,"[('T1.txt', 1)]"
3857,youth,"[('T7.txt', 2)]"
3858,shepston,"[('T1.txt', 3), ('T5.txt', 2), ('T9.txt', 1)]"
3859,brood,"[('T8.txt', 1)]"
3860,tortuou,"[('T9.txt', 1)]"
3861,24,"[('T1.txt', 1), ('T4.txt', 1), ('T5.txt', 1)]"
3862,therefor,"[('T2.txt', 3), ('T3.txt', 4), ('T4.txt', 3), ('T5.txt', 1), ('T6.txt', 2), ('T7.txt', 2), ('T9.txt', 6), ('T10.txt', 4)]"
3863,greek,"[('T2.txt', 1), ('T6.txt', 1), ('T8.txt', 2)]"
3864,thoroughli,"[('T5.txt', 1), ('T7.txt', 1)]"
3865,richli,"[('T8.txt', 1)]"
3866,carnivor,"[('T7.txt', 2)]"
3867,directli,"[('T1.txt', 2), ('T4.txt', 1), ('T5.txt', 1), ('T6.txt', 1), ('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 2), ('T10.txt', 3)]"
3868,harmoni,"[('T1.txt', 1), ('T7.txt', 1)]"
3869,scrap,"[('T9.txt', 1)]"
3870,corpor,"[('T10.txt', 1)]"
3871,paralys,"[('T6.txt', 2)]"
3872,pliocen,"[('T7.txt', 3)]"
3873,cerebrum,"[('T6.txt', 1)]"
3874,_reproduc,"[('T6.txt', 5), ('T9.txt', 2)]"
3875,cosmic,"[('T4.txt', 1), ('T5.txt', 1), ('T6.txt', 1)]"
3876,kingdom,"[('T1.txt', 1), ('T6.txt', 4)]"
3877,spectral,"[('T2.txt', 1)]"
3878,compil,"[('T5.txt', 1), ('T10.txt', 1)]"
3879,revolv,"[('T1.txt', 1), ('T3.txt', 2), ('T6.txt', 1), ('T9.txt', 7), ('T10.txt', 1)]"
3880,york,"[('T1.txt', 6)]"
3881,popularli,"[('T2.txt', 1), ('T4.txt', 1)]"
3882,care,"[('T1.txt', 1), ('T2.txt', 1), ('T3.txt', 1), ('T6.txt', 1), ('T7.txt', 8)]"
3883,sprinkl,"[('T9.txt', 1)]"
3884,routin,"[('T6.txt', 1), ('T7.txt', 3), ('T8.txt', 3)]"
3885,1769,"[('T1.txt', 1), ('T7.txt', 1)]"
3886,binari,"[('T10.txt', 1)]"
3887,picturesqu,"[('T2.txt', 1)]"
3888,columbu,"[('T1.txt', 1)]"
3889,mountain,"[('T1.txt', 2), ('T3.txt', 1), ('T4.txt', 5), ('T5.txt', 1), ('T6.txt', 1), ('T7.txt', 2)]"
3890,emphat,"[('T8.txt', 1)]"
3891,deduct,"[('T10.txt', 1)]"
3892,photograph,"[('T1.txt', 15), ('T2.txt', 4), ('T3.txt', 7), ('T4.txt', 2), ('T5.txt', 7), ('T6.txt', 1), ('T9.txt', 12)]"
3893,long,"[('T1.txt', 5), ('T2.txt', 2), ('T3.txt', 3), ('T4.txt', 4), ('T5.txt', 2), ('T6.txt', 18), ('T7.txt', 15), ('T8.txt', 1), ('T9.txt', 12), ('T10.txt', 4)]"
3894,ungrat,"[('T1.txt', 1)]"
3895,young,"[('T1.txt', 5), ('T5.txt', 1), ('T6.txt', 1), ('T7.txt', 19), ('T8.txt', 12), ('T9.txt', 1)]"
3896,p,"[('T1.txt', 6), ('T10.txt', 1)]"
3897,marin,"[('T1.txt', 1), ('T2.txt', 1), ('T6.txt', 1), ('T7.txt', 2)]"
3898,allantoi,"[('T7.txt', 2)]"
3899,agent,"[('T6.txt', 1), ('T7.txt', 1), ('T10.txt', 1)]"
3900,brick,"[('T9.txt', 5)]"
3901,inkl,"[('T9.txt', 1)]"
3902,memor,"[('T7.txt', 1)]"
3903,sympathi,"[('T7.txt', 1)]"
3904,reid,"[('T1.txt', 1)]"
3905,propound,"[('T6.txt', 1)]"
3906,clock,"[('T5.txt', 2)]"
3907,death,"[('T1.txt', 3), ('T5.txt', 4), ('T6.txt', 12), ('T7.txt', 1)]"
3908,larv,"[('T1.txt', 1), ('T8.txt', 1)]"
3909,1922,"[('T1.txt', 12)]"
3910,sheet,"[('T3.txt', 1), ('T7.txt', 1)]"
3911,apt,"[('T6.txt', 3), ('T8.txt', 2), ('T9.txt', 1)]"
3912,network,"[('T1.txt', 1), ('T6.txt', 1), ('T7.txt', 1), ('T10.txt', 1)]"
3913,gaum,"[('T1.txt', 2)]"
3914,truth,"[('T6.txt', 1), ('T7.txt', 1), ('T8.txt', 2)]"
3915,abund,"[('T1.txt', 1), ('T6.txt', 1), ('T7.txt', 6)]"
3916,reserv,"[('T4.txt', 1)]"
3917,curios,"[('T7.txt', 2)]"
3918,membran,"[('T7.txt', 3)]"
3919,fabric,"[('T5.txt', 1)]"
3920,revel,"[('T1.txt', 3), ('T2.txt', 1)]"
3921,simpler,"[('T6.txt', 2), ('T7.txt', 1), ('T9.txt', 3)]"
3922,suit,"[('T6.txt', 6), ('T9.txt', 2)]"
3923,arch,"[('T1.txt', 1), ('T7.txt', 3)]"
3924,161,"[('T1.txt', 2)]"
3925,ginkgo,"[('T7.txt', 1)]"
3926,st,"[('T10.txt', 1)]"
3927,hydrospher,"[('T6.txt', 1), ('T7.txt', 1)]"
3928,presum,"[('T5.txt', 1), ('T7.txt', 1)]"
3929,finder,"[('T5.txt', 1)]"
3930,conif,"[('T7.txt', 4)]"
3931,given,"[('T1.txt', 2), ('T2.txt', 2), ('T4.txt', 1), ('T6.txt', 4), ('T7.txt', 3), ('T9.txt', 4), ('T10.txt', 2)]"
3932,detect,"[('T1.txt', 4), ('T2.txt', 5), ('T3.txt', 1), ('T9.txt', 2), ('T10.txt', 4)]"
3933,alway,"[('T1.txt', 3), ('T2.txt', 1), ('T3.txt', 4), ('T4.txt', 2), ('T6.txt', 8), ('T7.txt', 2), ('T8.txt', 2), ('T10.txt', 1)]"
3934,lamb,"[('T8.txt', 1)]"
3935,opinion,"[('T3.txt', 1), ('T4.txt', 1), ('T5.txt', 2), ('T9.txt', 1)]"
3936,monsters_,"[('T7.txt', 1)]"
3937,debat,"[('T5.txt', 1)]"
3938,humanli,"[('T9.txt', 1)]"
3939,wall,"[('T1.txt', 2), ('T6.txt', 5), ('T9.txt', 1), ('T10.txt', 1)]"
3940,advanc,"[('T1.txt', 4), ('T2.txt', 1), ('T3.txt', 2), ('T5.txt', 1), ('T7.txt', 8), ('T9.txt', 1), ('T10.txt', 2)]"
3941,expos,"[('T4.txt', 1), ('T6.txt', 2), ('T8.txt', 1), ('T9.txt', 1)]"
3942,extent,"[('T1.txt', 1), ('T2.txt', 1), ('T3.txt', 1), ('T6.txt', 2), ('T7.txt', 2), ('T8.txt', 2), ('T9.txt', 1), ('T10.txt', 1)]"
3943,health,"[('T1.txt', 1)]"
3944,eater,"[('T7.txt', 1)]"
3945,stagnant,"[('T9.txt', 1)]"
3946,flier,"[('T7.txt', 2)]"
3947,hoof,"[('T7.txt', 2)]"
3948,reproduc,"[('T1.txt', 14), ('T2.txt', 1), ('T4.txt', 1), ('T6.txt', 1), ('T7.txt', 1)]"
3949,solidar,"[('T7.txt', 1)]"
3950,waggon,"[('T8.txt', 1)]"
3951,stranger,"[('T8.txt', 1)]"
3952,http,"[('T1.txt', 1), ('T10.txt', 9)]"
3953,_they,"[('T9.txt', 1)]"
3954,corpuscular,"[('T10.txt', 1)]"
3955,partli,"[('T1.txt', 2), ('T7.txt', 2), ('T8.txt', 1)]"
3956,sediment,"[('T7.txt', 1)]"
3957,stuff,"[('T1.txt', 1), ('T3.txt', 1), ('T4.txt', 1), ('T8.txt', 1), ('T9.txt', 1)]"
3958,fring,"[('T3.txt', 1), ('T6.txt', 1), ('T7.txt', 1)]"
3959,mercuri,"[('T1.txt', 4), ('T3.txt', 3), ('T5.txt', 1)]"
3960,admir,"[('T1.txt', 1), ('T8.txt', 2)]"
3961,fir,"[('T8.txt', 1)]"
3962,vestig,"[('T7.txt', 3)]"
3963,whenc,"[('T4.txt', 1), ('T5.txt', 1), ('T9.txt', 1), ('T10.txt', 1)]"
3964,substratum,"[('T6.txt', 1), ('T7.txt', 1)]"
3965,send,"[('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 4), ('T10.txt', 2)]"
3966,attribut,"[('T2.txt', 1), ('T6.txt', 1), ('T9.txt', 1)]"
3967,chapter,"[('T2.txt', 1), ('T5.txt', 1), ('T6.txt', 5), ('T7.txt', 3), ('T9.txt', 3)]"
3968,burst,"[('T3.txt', 1), ('T4.txt', 1), ('T5.txt', 1)]"
3969,gulf,"[('T6.txt', 2)]"
3970,1850,"[('T9.txt', 1)]"
3971,hesperorni,"[('T1.txt', 1), ('T7.txt', 1)]"
3972,impati,"[('T8.txt', 1)]"
3973,question,"[('T1.txt', 7), ('T2.txt', 1), ('T4.txt', 1), ('T5.txt', 4), ('T6.txt', 2), ('T7.txt', 2), ('T8.txt', 1), ('T9.txt', 4), ('T10.txt', 2)]"
3974,vacuol,"[('T6.txt', 2)]"
3975,boy,"[('T7.txt', 1), ('T9.txt', 1)]"
3976,146,"[('T1.txt', 2)]"
3977,mild,"[('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 1)]"
3978,profoundli,"[('T7.txt', 1)]"
3979,lion,"[('T7.txt', 1)]"
3980,pour,"[('T2.txt', 1), ('T9.txt', 2)]"
3981,spinthariscop,"[('T9.txt', 1)]"
3982,violent,"[('T2.txt', 1), ('T4.txt', 1), ('T6.txt', 2), ('T9.txt', 8), ('T10.txt', 1)]"
3983,exert,"[('T1.txt', 1), ('T7.txt', 1), ('T9.txt', 1), ('T10.txt', 1)]"
3984,266,"[('T1.txt', 1)]"
3985,goe,"[('T1.txt', 1), ('T4.txt', 1), ('T5.txt', 1), ('T6.txt', 3), ('T7.txt', 1), ('T9.txt', 3)]"
3986,inset,"[('T6.txt', 1)]"
3987,ear,"[('T1.txt', 1), ('T7.txt', 2), ('T8.txt', 1)]"
3988,emerg,"[('T2.txt', 1), ('T4.txt', 1), ('T5.txt', 2), ('T6.txt', 3), ('T7.txt', 7)]"
3989,remaind,"[('T1.txt', 1)]"
3990,inquir,"[('T6.txt', 2), ('T7.txt', 1), ('T10.txt', 1)]"
3991,gentler,"[('T7.txt', 1)]"
3992,entangl,"[('T1.txt', 1), ('T6.txt', 1)]"
3993,300,"[('T3.txt', 1), ('T4.txt', 1)]"
3994,incident,"[('T10.txt', 1)]"
3995,infect,"[('T6.txt', 2)]"
3996,wave,"[('T1.txt', 3), ('T2.txt', 11), ('T4.txt', 1), ('T7.txt', 1), ('T9.txt', 88), ('T10.txt', 4)]"
3997,lowel,"[('T1.txt', 1), ('T3.txt', 5), ('T5.txt', 2)]"
3998,duckl,"[('T8.txt', 1)]"
3999,easili,"[('T1.txt', 1), ('T5.txt', 1), ('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 2), ('T10.txt', 1)]"
4000,salmon,"[('T1.txt', 3)]"
4001,_unavailable_,"[('T9.txt', 1), ('T10.txt', 1)]"
4002,habitu,"[('T7.txt', 1)]"
4003,appendag,"[('T6.txt', 1), ('T7.txt', 1), ('T8.txt', 1)]"
4004,favourit,"[('T6.txt', 1)]"
4005,saint,"[('T1.txt', 1)]"
4006,kiwi,"[('T1.txt', 1)]"
4007,cynodont,"[('T7.txt', 1)]"
4008,impur,"[('T7.txt', 1)]"
4009,ein,"[('T10.txt', 1)]"
4010,confin,"[('T6.txt', 1), ('T9.txt', 1)]"
4011,hard,"[('T4.txt', 1), ('T5.txt', 1), ('T7.txt', 5), ('T8.txt', 2)]"
4012,mile_,"[('T1.txt', 1)]"
4013,column,"[('T1.txt', 1)]"
4014,7a,"[('T7.txt', 1)]"
4015,inquisit,"[('T8.txt', 1)]"
4016,distribut,"[('T1.txt', 2), ('T6.txt', 3), ('T7.txt', 3), ('T10.txt', 24)]"
4017,52,"[('T9.txt', 1)]"
4018,risk,"[('T7.txt', 8)]"
4019,geologist,"[('T7.txt', 4)]"
4020,psycholog,"[('T1.txt', 1)]"
4021,slide,"[('T1.txt', 1), ('T5.txt', 1)]"
4022,equalis,"[('T10.txt', 1)]"
4023,vol,"[('T1.txt', 2), ('T10.txt', 2)]"
4024,incom,"[('T6.txt', 2)]"
4025,joint,"[('T7.txt', 3)]"
4026,unif,"[('T10.txt', 2)]"
4027,specul,"[('T1.txt', 1), ('T3.txt', 2), ('T4.txt', 1), ('T5.txt', 4), ('T6.txt', 2), ('T9.txt', 2)]"
4028,must,"[('T1.txt', 8), ('T2.txt', 6), ('T3.txt', 9), ('T4.txt', 6), ('T5.txt', 1), ('T6.txt', 9), ('T7.txt', 16), ('T8.txt', 2), ('T9.txt', 2), ('T10.txt', 22)]"
4029,galileo,"[('T5.txt', 2)]"
4030,milligram,"[('T1.txt', 1)]"
4031,crown,"[('T1.txt', 2), ('T6.txt', 2), ('T7.txt', 3), ('T10.txt', 1)]"
4032,meteor,"[('T1.txt', 4), ('T2.txt', 3), ('T4.txt', 7), ('T5.txt', 1)]"
4033,arrang,"[('T1.txt', 3), ('T2.txt', 1), ('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 10)]"
4034,cambrian_,"[('T7.txt', 1)]"
4035,dinosaur,"[('T7.txt', 5)]"
4036,rest,"[('T2.txt', 1), ('T3.txt', 1), ('T6.txt', 2), ('T7.txt', 3), ('T8.txt', 1), ('T9.txt', 1)]"
4037,boil,"[('T1.txt', 1), ('T2.txt', 1), ('T3.txt', 1), ('T4.txt', 1), ('T6.txt', 1), ('T9.txt', 1), ('T10.txt', 2)]"
4038,support,"[('T2.txt', 1), ('T7.txt', 2), ('T9.txt', 1), ('T10.txt', 4)]"
4039,float,"[('T4.txt', 1), ('T6.txt', 2), ('T7.txt', 2), ('T8.txt', 2)]"
4040,senesc,"[('T6.txt', 1)]"
4041,ulna,"[('T7.txt', 2)]"
4042,radiu,"[('T7.txt', 1)]"
4043,arthropod,"[('T7.txt', 2)]"
4044,pearl,"[('T9.txt', 1)]"
4045,touch,"[('T5.txt', 1), ('T6.txt', 2), ('T8.txt', 1)]"
4046,map,"[('T1.txt', 1), ('T4.txt', 1)]"
4047,luther,"[('T5.txt', 1)]"
4048,profitless,"[('T6.txt', 1)]"
4049,round_,"[('T9.txt', 1)]"
4050,chamber,"[('T7.txt', 1)]"
4051,suspend,"[('T6.txt', 1), ('T9.txt', 1)]"
4052,far,"[('T1.txt', 13), ('T3.txt', 2), ('T4.txt', 2), ('T5.txt', 1), ('T6.txt', 6), ('T7.txt', 10), ('T8.txt', 2), ('T9.txt', 7), ('T10.txt', 5)]"
4053,red,"[('T1.txt', 6), ('T2.txt', 6), ('T3.txt', 4), ('T4.txt', 11), ('T5.txt', 1), ('T7.txt', 4), ('T8.txt', 2), ('T9.txt', 11)]"
4054,seventi,"[('T4.txt', 1)]"
4055,jackdaw,"[('T1.txt', 1)]"
4056,explor,"[('T5.txt', 1), ('T6.txt', 1)]"
4057,buckl,"[('T6.txt', 1), ('T7.txt', 1)]"
4058,conjectur,"[('T6.txt', 1)]"
4059,genesi,"[('T6.txt', 2)]"
4060,locomot,"[('T1.txt', 3), ('T6.txt', 1), ('T7.txt', 2), ('T9.txt', 1)]"
4061,quiet,"[('T1.txt', 1)]"
4062,amoeb,"[('T6.txt', 2)]"
4063,harvest,"[('T8.txt', 1)]"
4064,report,"[('T1.txt', 5), ('T5.txt', 1), ('T6.txt', 3), ('T10.txt', 3)]"
4065,horsepow,"[('T9.txt', 1)]"
4066,glass,"[('T1.txt', 1), ('T2.txt', 6), ('T5.txt', 1), ('T6.txt', 1), ('T9.txt', 6)]"
4067,reptil,"[('T1.txt', 2), ('T7.txt', 33), ('T8.txt', 6)]"
4068,similitud,"[('T7.txt', 1)]"
4069,dissip,"[('T1.txt', 1), ('T4.txt', 1), ('T10.txt', 3)]"
4070,reliev,"[('T2.txt', 1), ('T7.txt', 3), ('T9.txt', 1)]"
4071,252,"[('T1.txt', 1)]"
4072,brows,"[('T7.txt', 1)]"
4073,facil,"[('T5.txt', 1), ('T10.txt', 1)]"
4074,gear,"[('T6.txt', 1)]"
4075,corrupt,"[('T10.txt', 1)]"
4076,pedigre,"[('T1.txt', 1), ('T7.txt', 3)]"
4077,retreat,"[('T6.txt', 1), ('T7.txt', 2), ('T8.txt', 2)]"
4078,american,"[('T4.txt', 1), ('T9.txt', 1)]"
4079,reiter,"[('T7.txt', 1)]"
4080,obliqu,"[('T9.txt', 1)]"
4081,pigmi,"[('T7.txt', 1)]"
4082,extern,"[('T1.txt', 1), ('T7.txt', 4)]"
4083,inspir,"[('T6.txt', 1), ('T7.txt', 1)]"
4084,daili,"[('T5.txt', 1), ('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 1), ('T10.txt', 1)]"
4085,feel,"[('T2.txt', 2), ('T6.txt', 2), ('T7.txt', 5), ('T8.txt', 2), ('T9.txt', 1)]"
4086,repeat,"[('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 1)]"
4087,empti,"[('T4.txt', 1), ('T8.txt', 2), ('T9.txt', 3), ('T10.txt', 1)]"
4088,212,"[('T1.txt', 2)]"
4089,destroy,"[('T7.txt', 2), ('T9.txt', 5), ('T10.txt', 4)]"
4090,nois,"[('T4.txt', 1), ('T7.txt', 1)]"
4091,proport,"[('T1.txt', 1), ('T3.txt', 1), ('T5.txt', 1), ('T6.txt', 1), ('T9.txt', 4), ('T10.txt', 1)]"
4092,_see_,"[('T9.txt', 1)]"
4093,abdomen,"[('T7.txt', 1)]"
4094,serviss,"[('T5.txt', 1)]"
4095,elliott,"[('T1.txt', 2)]"
4096,thomson,"[('T1.txt', 7), ('T7.txt', 2), ('T9.txt', 2), ('T10.txt', 2)]"
4097,150,"[('T1.txt', 1), ('T10.txt', 1)]"
4098,good,"[('T1.txt', 2), ('T3.txt', 2), ('T4.txt', 1), ('T5.txt', 2), ('T6.txt', 4), ('T7.txt', 5), ('T8.txt', 3), ('T9.txt', 3)]"
4099,degre,"[('T1.txt', 2), ('T2.txt', 2), ('T3.txt', 1), ('T5.txt', 1), ('T6.txt', 6), ('T7.txt', 2), ('T8.txt', 1), ('T10.txt', 1)]"
4100,princip,"[('T2.txt', 1), ('T10.txt', 1)]"
4101,centrifug,"[('T10.txt', 1)]"
4102,moist,"[('T3.txt', 1), ('T7.txt', 3)]"
4103,disarrang,"[('T7.txt', 1)]"
4104,furnac,"[('T1.txt', 1), ('T3.txt', 1), ('T9.txt', 2)]"
4105,ters,"[('T1.txt', 1)]"
4106,read,"[('T1.txt', 2), ('T5.txt', 1), ('T7.txt', 4), ('T8.txt', 1), ('T10.txt', 4)]"
4107,amid,"[('T8.txt', 1)]"
4108,rate,"[('T1.txt', 2), ('T3.txt', 1), ('T5.txt', 1), ('T7.txt', 1), ('T9.txt', 4), ('T10.txt', 6)]"
4109,gather,"[('T5.txt', 4), ('T6.txt', 3), ('T8.txt', 1), ('T9.txt', 2)]"
4110,spinal,"[('T7.txt', 2)]"
4111,stingi,"[('T8.txt', 1)]"
4112,necessarili,"[('T3.txt', 1), ('T7.txt', 1), ('T9.txt', 1), ('T10.txt', 1)]"
4113,loaf,"[('T9.txt', 1)]"
4114,sensatori,"[('T6.txt', 1)]"
4115,corpuscl,"[('T6.txt', 3)]"
4116,build,"[('T1.txt', 1), ('T5.txt', 1), ('T6.txt', 9), ('T7.txt', 2), ('T8.txt', 1), ('T9.txt', 4)]"
4117,amongst,"[('T1.txt', 1), ('T4.txt', 3), ('T5.txt', 1), ('T9.txt', 2), ('T10.txt', 1)]"
4118,catch,"[('T1.txt', 4), ('T2.txt', 1), ('T8.txt', 1), ('T9.txt', 2)]"
4119,ii,"[('T1.txt', 1), ('T6.txt', 2)]"
4120,tumultu,"[('T1.txt', 1)]"
4121,time,"[('T1.txt', 15), ('T2.txt', 3), ('T3.txt', 3), ('T4.txt', 3), ('T5.txt', 7), ('T6.txt', 8), ('T7.txt', 35), ('T8.txt', 4), ('T9.txt', 13), ('T10.txt', 13)]"
4122,gaunt,"[('T4.txt', 1)]"
4123,chemist,"[('T6.txt', 3), ('T9.txt', 1), ('T10.txt', 1)]"
4124,envelop,"[('T1.txt', 4), ('T2.txt', 2), ('T3.txt', 1)]"
4125,mathemat,"[('T1.txt', 2), ('T3.txt', 1), ('T5.txt', 2), ('T10.txt', 2)]"
4126,emancip,"[('T7.txt', 1), ('T8.txt', 2)]"
4127,compos,"[('T2.txt', 3), ('T4.txt', 2), ('T9.txt', 2)]"
4128,166,"[('T1.txt', 2)]"
4129,phoenix,"[('T9.txt', 1)]"
4130,martian,"[('T3.txt', 1), ('T10.txt', 2)]"
4131,great,"[('T1.txt', 22), ('T2.txt', 8), ('T3.txt', 7), ('T4.txt', 8), ('T5.txt', 18), ('T6.txt', 32), ('T7.txt', 36), ('T8.txt', 5), ('T9.txt', 14), ('T10.txt', 5)]"
4132,odour,"[('T7.txt', 1)]"
4133,flight,"[('T6.txt', 1), ('T7.txt', 7)]"
4134,split,"[('T2.txt', 3), ('T5.txt', 2), ('T6.txt', 2), ('T9.txt', 2), ('T10.txt', 2)]"
4135,globul,"[('T6.txt', 1)]"
4136,entellus_,"[('T8.txt', 1)]"
4137,deeper,"[('T1.txt', 1), ('T6.txt', 1)]"
4138,abundantli,"[('T7.txt', 1)]"
4139,michael,"[('T10.txt', 2)]"
4140,male,"[('T1.txt', 2), ('T6.txt', 5), ('T7.txt', 2)]"
4141,museum_,"[('T6.txt', 2)]"
4142,remot,"[('T2.txt', 1), ('T4.txt', 1), ('T5.txt', 1), ('T7.txt', 1), ('T10.txt', 2)]"
4143,libel,"[('T6.txt', 1)]"
4144,array,"[('T10.txt', 1)]"
4145,widest,"[('T10.txt', 2)]"
4146,123,"[('T4.txt', 1)]"
4147,hastili,"[('T8.txt', 1)]"
4148,meet,"[('T2.txt', 1), ('T7.txt', 5), ('T9.txt', 3), ('T10.txt', 1)]"
4149,11,"[('T1.txt', 1), ('T2.txt', 1), ('T5.txt', 1), ('T9.txt', 1)]"
4150,fur,"[('T7.txt', 1)]"
4151,absurdli,"[('T1.txt', 1)]"
4152,fusion,"[('T7.txt', 1)]"
4153,flea,"[('T7.txt', 1)]"
4154,gigant,"[('T1.txt', 4), ('T2.txt', 1), ('T4.txt', 2), ('T5.txt', 1), ('T6.txt', 1), ('T7.txt', 3), ('T9.txt', 1), ('T10.txt', 1)]"
